,Unnamed: 0,URL,Price,Marka,Model,İşletim Sistemi,Ön Kamera Çözünürlüğü,Arka Kamera Çözünürlüğü,Bellek Kapasitesi,Batarya Kapasitesi,Ekran Boyutu,Ekran Çözünürlüğü,Garanti Türü,Hızlı Şarj Özelliği,Çift Hatlı,Toza Dayanıklılık,En,NFC,GPS,Hafıza Kartı Desteği,Yonga Seti (Chipset),4.5G Desteği,İşlemci,Bluetooth Sürüm,Arka Kamera Video Kayıt Çözünürlüğü,CPU Frekansı,Ekran / Gövde Oranı,Optik Görüntü Sabitleyici,Çözünürlük Standardı,USB Bağlantı Tipi,USB Versiyonu,Boy,İkinci Arka Kamera Çözünürlüğü,Kalınlık,Suya Dayanıklılık,Parmak izi Okuyucu,Üçüncü Arka Kamera Çözünürlüğü,Ağırlık,Arka Kamera Video FPS Değeri,Dördüncü Arka Kamera Çözünürlüğü,CPU Çekirdeği,Ekran Tipi,5G Desteği,Yüz Tanıma,Toza Dayanıklılık Seviyesi,Suya Dayanıklılık Seviyesi,1.Yardımcı İşlemci,İkinci Ön Kamera Çözünürlüğü,Kamera Zoom,2.Yardımcı İşlemci,Beşinci Arka Kamera Çözünürlüğü,Dahili_Hafiza
700,700,https://www.n11.com/urun/huawei-p30-lite-128-gb-huawei-turkiye-garantili-962687?magaza=bittibitiyor," 2.866,00 ", Huawei, P30 Lite, Android, 24 MP, 48 MP, 4 GB, 3340 mAh," 6.15""", 1080 x 2312, Distribütör Garantili, Var, Yok, Yok, 72.7 MM, Var, Var, Var, Huawei Kirin 710, Var, Quad-Core 2.2 GHz ARM Cortex-A73,4.2, 1080p (Full HD), 2.2 GHz, % 83.75, Yok, FHD+, USB Type-C, 2.0, 152.9 MM, 8 MP, 7.4 MM, Yok, Var, 2 MP, 159 G, 60 fps,,8.0, IPS LCD, Yok,,,,,,,,,128.0
701,701,https://www.n11.com/urun/xiaomi-mi-10-128-gb-xiaomi-turkiye-garantili-1370612?magaza=bittibitiyor," 10.572,90 ", Xiaomi, Mi 10, Android, 20 MP, 108 MP, 8 GB, 4780 mAh," 6.67""", 1080 x 2340, Distribütör Garantili, Var,,, 74.8 MM, Var, Var, Yok, Qualcomm Snapdragon 865 (SM8250), Var, Single-core 2.84 GHz Kryo 585 (ARM Cortex-A77),5.1, 4320p (Ultra HD) 8K, 2.84 GHz, % 89.64, Var, FHD+, USB Type-C, 2.0, 162.5 MM, 13 MP, 9 MM,, Var, 2 MP, 208 G, 30 fps, 2 MP,8.0, Amoled, Var, Var,,,,, 2x Optik,,,128.0
702,702,https://www.n11.com/urun/apple-iphone-11-pro-max-512-gb-apple-turkiye-garantili-1166973?magaza=bittibitiyor," 16.298,00 ", Apple, iPhone 11 Pro Max, iOS, 12 MP, 12 MP, 4 GB, 3969 mAh," 6.5""", 1242 x 2688, Distribütör Garantili, Var, Yok, Var, 77.8 MM, Var, Var, Yok, Apple A13 Bionic, Var, Dual-Core 2.65 GHz Lightning,5.0, 2160p (Ultra HD) 4K, 2.65 GHz, % 82.69, Var, FHD+, Lightning, 2.0, 158 MM, 12 MP, 8.1 MM, Var, Yok, 12 MP, 226 G, 60 fps,,6.0, OLED, Yok, Var, IP6X, IPX8,,, 2x Optik,,,512.0
703,703,https://www.n11.com/urun/apple-iphone-11-256-gb-apple-turkiye-garantili-1166903?magaza=bittibitiyor," 8.979,00 ", Apple, iPhone 11, iOS, 12 MP, 12 MP, 4 GB, 3110 mAh," 6.1""", 828 x 1792, Distribütör Garantili, Var, Yok, Var, 75.7 MM, Var, Var, Yok, Apple A13 Bionic, Var, Dual-Core 2.65 GHz Lightning,5.0, 2160p (Ultra HD) 4K, 2.65 GHz, % 78.31, Var, HD+, Lightning, 2.0, 150.9 MM, 12 MP, 8.3 MM, Var, Yok,, 194 G, 60 fps,,6.0, IPS LCD, Yok, Var, IP6X, IPX8,,,,,,256.0
704,704,https://www.n11.com/urun/apple-iphone-11-128-gb-apple-turkiye-garantili-1107897?magaza=mobilepoint," 8.099,00 ", Apple, iPhone 11, iOS, 12 MP, 12 MP, 4 GB, 3046 mAh," 6.1""", 828 x 1792, Distribütör Garantili, Var, Yok, Var, 75.7 MM, Var, Var, Yok, Apple A13 Bionic, Var, Dual-Core 2.65 GHz Lightning,5.0, 2160p (Ultra HD) 4K, 2.65 GHz, % 78.31, Var, HD+, Lightning, 2.0, 150.9 MM, 12 MP, 8.3 MM, Var, Yok,, 194 G, 60 fps,,6.0, IPS LCD, Yok, Var, IP6X, IPX8,,,,,,128.0
705,705,https://www.n11.com/urun/huawei-y6-2019-32-gb-duos-huawei-turkiye-garantili-928889?magaza=iridyum," 2.230,00 ", Huawei, Y6 2019, Android, 8 MP, 13 MP, 2 GB, 3020 mAh," 6.09""", 720 x 1560, Distribütör Garantili, Yok, Var, Yok, 73.5 MM, Yok, Var, Var, MediaTek MT6761 (Helio A22), Var, Quad-Core 2.0 GHz ARM Cortex-A53,4.2, 1080p (Full HD), 2.0 GHz, % 78.82, Yok, HD+, Micro-USB, 2.0, 156.28 MM,, 8 MM, Yok, Yok,, 150 G, 30 fps,,4.0, IPS LCD, Yok,,,,,,,,,32.0
706,706,https://www.n11.com/urun/huawei-p-smart-2019-64-gb-huawei-turkiye-garantili-1135269?magaza=e-babill," 2.599,00 ", Huawei, P Smart (2019), Android, 8 MP, 13 MP, 3 GB, 3400 mAh," 6.21""", 1080 x 2340, Distribütör Garantili, Yok, Var, Yok, 73.4 MM, Var, Var, Var, Huawei Kirin 710, Var, Quad-core 2.2 GHz ARM Cortex-A73,4.2, 1080p (Full HD), 2.2 GHz, % 82.66, Yok, FHD+, Micro-USB, 2.0, 155.2 MM, 2 MP, 7.95 MM, Yok, Var,, 160 G, 60 fps,,8.0, IPS LCD, Yok, Var,,,,,,,,64.0
707,707,https://www.n11.com/urun/samsung-galaxy-note-10-plus-256-gb-samsung-turkiye-garantili-1035961?magaza=telefonpiyasasi," 7.999,00 ", Samsung, Galaxy Note 10 Plus, Android, 10 MP, 12 MP, 12 GB, 4300 mAh," 6.8""", 1440 x 3040, Distribütör Garantili, Var, Yok, Var, 77.1 MM, Var, Var, Var, Samsung Exynos 9825, Var, Dual-Core 2.73 GHz Exynos M4,5.0, 2160p (Ultra HD) 4K, 2.73 GHz, % 92.23, Var, QHD+, USB Type-C, 3.1 Gen 1 (USB 3.0), 162.3 MM, 16 MP, 7.9 MM, Var, Var, 12 MP, 198 G, 60 fps,,8.0, Dynamic AMOLED, Yok,, IPX8, IPX8,,,,,,256.0
708,708,https://www.n11.com/urun/apple-iphone-se-2020-64-gb-apple-turkiye-garantili-1381478?magaza=telefonpiyasasi," 4.921,00 ", Apple, iPhone SE 2020, iOS, 7 MP, 12 MP, 3 GB, 1821 mAh," 4.7""", 750 x 1334, Distribütör Garantili, Var,, Var, 67.3 MM, Var, Var,, Apple A13 Bionic, Var,,5.0, 2160p (Ultra HD) 4K, 2.6 GHz, % 65.36, Var,, Lightning,, 138.4 MM,, 7.3 MM, Var, Var,, 148 G, 60 fps,,6.0, IPS LCD,,, IP6X, IPX7,,,,,,64.0
709,709,https://www.n11.com/urun/samsung-galaxy-m20-32-gb-samsung-turkiye-garantili-861587?magaza=akay-bilisim," 2.459,00 ", Samsung, Galaxy M20, Android, 8 MP, 13 MP, 3 GB, 5000 mAh," 6.3""", 1080 x 2340, Distribütör Garantili, Var, Yok, Yok, 74.5 MM, Yok, Var, Var, Samsung Exynos 7 Series 7904, Var, Dual-Core 1.8 GHz ARM Cortex-A73,5.0, 1080p (Full HD), 1.8 GHz, % 82.82, Yok, FHD+, USB Type-C, 2.0, 156.4 MM, 5 MP, 8.8 MM, Yok, Var,, 186 G, 30 fps,,8.0, PLS, Yok, Var,,,,,,,,32.0
710,710,https://www.n11.com/urun/apple-iphone-xs-max-256-gb-apple-turkiye-garantili-799254?magaza=telefonpiyasasi," 14.250,00 ", Apple, iPhone XS Max, iOS, 7 MP, 12 MP, 4 GB, 3174 mAh," 6.5""", 1242 x 2688, Distribütör Garantili, Var, Yok, Var, 77.4 MM, Var, Var, Yok, Apple A12 Bionic, Var, Dual-Core 2.5 GHz Vortex,5.0, 2160p (Ultra HD) 4K, 2.5 GHz, % 83.39, Var, FHD+, Lightning, 2.0, 157.5 MM, 12 MP, 7.7 MM, Var, Yok,, 208 G, 60 fps,,6.0, OLED, Yok, Var, IP6X, IPX8,,, 2x Optik,,,256.0
711,711,https://www.n11.com/urun/huawei-mate-10-lite-64-gb-huawei-turkiye-garantili-398090?magaza=akay-bilisim," 2.599,00 ", Huawei, Mate 10 Lite, Android, 13 MP, 16 MP, 4 GB, 3240 mAh," 5.9""", 1080 x 2160, Distribütör Garantili,, Yok, Yok, 75.2 MM, Var, Var, Var, HiSilicon Kirin 659, Var, Quad-Core 2.36 GHz ARM Cortex-A53,4.2, 1080p (Full HD), 2.36 GHz, % 76.48, Yok, FHD+, Micro-USB, 2.0, 156.2 MM, 2 MP, 7.5 MM, Yok, Var,, 164 G, 30 fps,,8.0, IPS LCD, Yok,,,,, 2 MP,,,,64.0
712,712,https://www.n11.com/urun/apple-iphone-se-2020-64-gb-apple-turkiye-garantili-1381478?magaza=escmarket," 4.921,00 ", Apple, iPhone SE 2020, iOS, 7 MP, 12 MP, 3 GB, 1821 mAh," 4.7""", 750 x 1334, Distribütör Garantili, Var,, Var, 67.3 MM, Var, Var,, Apple A13 Bionic, Var,,5.0, 2160p (Ultra HD) 4K, 2.6 GHz, % 65.36, Var,, Lightning,, 138.4 MM,, 7.3 MM, Var, Var,, 148 G, 60 fps,,6.0, IPS LCD,,, IP6X, IPX7,,,,,,64.0
713,713,https://www.n11.com/urun/samsung-galaxy-a10s-32-gb-samsung-turkiye-garantili-1091967?magaza=nazcep," 2.319,00 ", Samsung, Galaxy A10S, Android, 8 MP, 13 MP, 2 GB, 4000 mAh," 6.2""", 720 x 1520, Distribütör Garantili, Yok, Yok, Yok, 78.5 MM, Yok, Var, Var, MediaTek MT6762 (Helio P22), Var, Quad-Core 2.0GHz ARM Cortex-A53,4.2, 1080p (Full HD), 2.0 GHz, % 77.05, Yok, HD+, Micro-USB, 2.0, 156.9 MM, 2 MP, 7.8 MM, Yok, Var,, 168 G, 30 fps,,8.0, PLS, Yok,,,,,,,,,32.0
714,714,https://www.n11.com/urun/infinix-hot-8-x650c-duos-64-gb-infinix-turkiye-garantili-1292144?magaza=sonsuzteknoloji," 2.260,00 ", Infinix, Hot 8 X650C, Android, 8 MP, 13 MP, 4 GB, 5000 mAh," 6.6""", 720 x 1560, Distribütör Garantili,, Var,,, Var, Var, Var, MediaTek MT6762 (Helio P22),,,5.0,, 2 GHz,,, HD+,,,,,,,,, 179 G, 30 fps,,8.0, IPS LCD,,,,,,,,,,64.0
715,715,https://www.n11.com/urun/casper-via-a2-32-gb-casper-turkiye-garantili-502701?magaza=yusufhome," 1.899,00 ", Casper, Via A2, Android, 20 MP, 16 MP, 3 GB, 3000 mAh," 5.7""", 720 x 1440, Distribütör Garantili, Yok, Yok, Yok, 72.4 MM, Yok, Var, Var, Qualcomm Snapdragon 430 MSM893, Var, Octa-Core 1.8 GHz ARM Cortex-A53,4.2,, 1.4 GHz, % 76.01, Yok, HD+, Micro-USB, 2.0, 152.35 MM,, 8.45 MM, Yok, Var,, 162 G, 30 fps,,8.0, IPS LCD, Yok,,,,, 8 MP,,,,32.0
716,716,https://www.n11.com/urun/xiaomi-redmi-note-8-pro-64-gb6-gb-xiaomi-turkiye-garantili-1128174?magaza=timmy," 3.319,00 ", Xiaomi, Redmi Note 8 Pro, Android, 20 MP, 64 MP, 6 GB, 4500 mAh," 6.53""", 1080 x 2340, Distribütör Garantili, Var, Var, Var, 76.4 MM, Var, Var, Var, MediaTek Helio G90T, Var, Dual-Core 2.05 GHz ARM Cortex-A76,5.0, 2160p (Ultra HD) 4K, 2.05 GHz, % 84.1, Yok, FHD+, USB Type-C, 2.0, 161.3 MM, 8 MP, 8.8 MM, Var, Var, 2 MP, 199 G, 30 fps, 2 MP,8.0, IPS LCD, Yok, Var, IP5X, IPX2,,,,,,64.0
717,717,https://www.n11.com/urun/general-mobile-gm-20-pro-128-gb-general-mobile-turkiye-garantili-1507045?magaza=aksarayiletisim," 2.318,00 ", General Mobile, GM 20 Pro, Android, 16 MP, 48 MP, 6 GB, 4050 mAh," 6.3""", 1080 x 2340, Distribütör Garantili, Var,,, 75 MM,, Var, Var, MediaTek MT6771V/T (Helio P70), Var, Quad-core 2.1 GHz ARM Cortex-A73,4.2,, 2.1 GHz, % 81.97,, Full HD+, USB Type-C, 2.0, 157.5 MM, 8 MP, 8.65 MM,, Var, 2 MP, 180 G, 30 fps,,8.0, IPS LCD,, Var,,, Quad-core 2.0 GHz ARM Cortex-A53,,,,,128.0
718,718,https://www.n11.com/urun/elephone-u3h-duos-256-gb-elephone-turkiye-garantili-1433028?magaza=bittibitiyor," 3.204,90 ", Elephone, U3H Duos, Android, 24 MP, 48 MP, 8 GB, 3500 mAh," 6.53""", 1080 x 2340, Distribütör Garantili, Var, Var,, 77.6 MM, Var, Var, Var, MediaTek MT6771T (Helio P70), Var, Quad-core 2.1 GHz ARM Cortex-A73,4.2, 1080p (Full HD), 2.1 GHz, % 82.77,, FHD+, Type-C USB, 2.0, 162.5 MM, 5 MP, 8.7 MM,, Var,, 187 G, 30 fps,,8.0, IPS LCD,, Var,,,,,,,,256.0
719,719,https://www.n11.com/urun/samsung-galaxy-a51-128-gb-samsung-turkiye-garantili-1222359?magaza=telefondukkani," 3.599,00 ", Samsung, Galaxy A51, Android, 32 MP, 48 MP, 6 GB, 4000 mAh," 6.5""", 1080 x 2400, Distribütör Garantili, Var, Var, Yok, 73.6 MM, Var, Var, Var, Samsung Exynos 7 Series 9611, Var, Quad-core 2.3 GHz ARM Cortex-A73,5.0, 2160p (Ultra HD) 4K, 2.3 GHz, % 87.3, Yok, FHD+, USB Type-C, 2.0, 158.5 MM, 12 MP, 7.9 MM, Yok, Var, 5 MP, 172 G, 30 fps, 5 MP,8.0, Super AMOLED, Yok,,,,,,,,,128.0
720,720,https://www.n11.com/urun/oppo-realme-c3i-duos-32-gb-realme-turkiye-garantili-1451350?magaza=telefondukkani," 2.499,00 ", Oppo, Realme C3i Duos, Android,, 12 MP, 2 GB, 5000 mAh," 6.5""", 720 x 1600, Distribütör Garantili,, Var,, 75 MM,, Var, Var, MediaTek Helio G70, Var, Dual-core 2.0 GHz ARM Cortex-A75,5.0, 1080p (Full HD), 2 GHz, %82.7,, HD+, Micro-USB, 2.0, 164.4 MM, 2 MP, 9 MM,,,, 195 G, 30 fps,,8.0, IPS LCD,,,,,,,,,,32.0
721,721,https://www.n11.com/urun/samsung-galaxy-s20-fe-128-gb-samsung-turkiye-garantili-1557583?magaza=telefondukkani," 6.499,00 ", Samsung, S20 FE, Android, 32 MP, 12 MP, 6 GB, 4500 mAh," 6.5""", 1080 x 2400, Distribütör Garantili, Var,, Var, 74.55 MM, Var, Var, Var, Samsung Exynos 990, Var, Dual-core 2.73 GHz Mongoose M5,5.0, 2160p (Ultra HD) 4K, 2.73 GHz, % 85.52, Var, FHD+, USB Type-C,, 159.8 MM, 12 MP, 8.4 MM, Var, Var, 8 MP, 190 G, 60 fps,,8.0, Super AMOLED,, Var, IP6X, IPX8,,, 3x Optik,,,128.0
722,722,https://www.n11.com/urun/huawei-p30-lite-64-gb-huawei-turkiye-garantili-1209335?magaza=cephane," 2.659,90 ", Huawei, P30 Lite, Android, 32 MP, 24 MP, 4 GB, 3340 mAh," 6.15""", 1080 x 2312, Distribütör Garantili, Var, Yok, Yok, 72.7 MM, Var, Var, Var, Huawei Kirin 710, Var, Quad-Core 2.2 GHz ARM Cortex-A73,4.2, 1080p (Full HD), 2.2 GHz, % 83.75, Yok, FHD+, USB Type-C, 2.0, 152.9 MM, 8 MP, 7.4 MM, Yok, Var, 2 MP, 159 G, 60 fps,,8.0, IPS LCD, Yok,,,,,,,,,64.0
723,723,https://www.n11.com/urun/samsung-galaxy-a51-128-gb-samsung-turkiye-garantili-1222359?magaza=amobile," 3.599,00 ", Samsung, Galaxy A51, Android, 32 MP, 48 MP, 6 GB, 4000 mAh," 6.5""", 1080 x 2400, Distribütör Garantili, Var, Var, Yok, 73.6 MM, Var, Var, Var, Samsung Exynos 7 Series 9611, Var, Quad-core 2.3 GHz ARM Cortex-A73,5.0, 2160p (Ultra HD) 4K, 2.3 GHz, % 87.3, Yok, FHD+, USB Type-C, 2.0, 158.5 MM, 12 MP, 7.9 MM, Yok, Var, 5 MP, 172 G, 30 fps, 5 MP,8.0, Super AMOLED, Yok,,,,,,,,,128.0
724,724,https://www.n11.com/urun/huawei-p30-lite-128-gb-huawei-turkiye-garantili-962687?magaza=cephane," 2.866,00 ", Huawei, P30 Lite, Android, 24 MP, 48 MP, 4 GB, 3340 mAh," 6.15""", 1080 x 2312, Distribütör Garantili, Var, Yok, Yok, 72.7 MM, Var, Var, Var, Huawei Kirin 710, Var, Quad-Core 2.2 GHz ARM Cortex-A73,4.2, 1080p (Full HD), 2.2 GHz, % 83.75, Yok, FHD+, USB Type-C, 2.0, 152.9 MM, 8 MP, 7.4 MM, Yok, Var, 2 MP, 159 G, 60 fps,,8.0, IPS LCD, Yok,,,,,,,,,128.0
725,725,https://www.n11.com/urun/apple-iphone-11-128-gb-apple-turkiye-garantili-1107897?magaza=cephane," 8.099,00 ", Apple, iPhone 11, iOS, 12 MP, 12 MP, 4 GB, 3046 mAh," 6.1""", 828 x 1792, Distribütör Garantili, Var, Yok, Var, 75.7 MM, Var, Var, Yok, Apple A13 Bionic, Var, Dual-Core 2.65 GHz Lightning,5.0, 2160p (Ultra HD) 4K, 2.65 GHz, % 78.31, Var, HD+, Lightning, 2.0, 150.9 MM, 12 MP, 8.3 MM, Var, Yok,, 194 G, 60 fps,,6.0, IPS LCD, Yok, Var, IP6X, IPX8,,,,,,128.0
726,726,https://www.n11.com/urun/xiaomi-mi-9t-64-gb-duos-xiaomi-turkiye-garantili-1009761?magaza=bittibitiyor," 3.819,00 ", Xiaomi, Mi 9T, Android, 20 MP, 48 MP, 6 GB, 4000 mAh," 6.39""", 1080 x 2340, Distribütör Garantili, Var, Var, Yok, 74.3 MM, Var, Var, Yok, Qualcomm Snapdragon 730 (SM7150-AA), Var, Dual-Core 2.2 Ghz Kryo 470 (Gold),5.0, 2160p (Ultra HD) 4K, 2.2 GHz, % 86.09, Yok, FHD+, USB Type-C, 2.0, 156.7 MM, 13 MP, 8.8 MM, Yok, Var, 8 MP, 191 G, 30 fps,,8.0, AMOLED, Yok,,,,,, 2x Optik,,,64.0
727,727,https://www.n11.com/urun/xiaomi-redmi-note-9s-duos-64-gb-xiaomi-turkiye-garantili-1348266?magaza=bittibitiyor," 3.010,00 ", Xiaomi, Redmi Note 9S, Android, 16 MP, 48 MP, 4 GB, 5020 mAh," 6.67""", 1080 x 2400, Distribütör Garantili, Var, Var,, 76.68 MM,, Var, Var, Qualcomm Snapdragon 720G (SM7125), Var, Dual-core 2.3 GHz ARM Cortex-A76 (Kryo 465),5.0, 2160p (Ultra HD) 4K, 2.3 GHz, % 84.27, Yok, FHD+, USB Type-C, 2.0, 165.75 MM, 8 MP, 8.8 MM,, Var, 5 MP, 209 G, 30 fps, 2 MP,8.0, IPS LCD, Yok, Var,,,,,,,,64.0
728,728,https://www.n11.com/urun/xiaomi-mi-note-10-lite-64-gb-6-gb-ram-xiaomi-turkiye-garantili-1377383?magaza=bittibitiyor," 3.849,00 ", Xiaomi, Mi Note 10 Lite, Android, 16 MP, 64 MP, 6 GB, 5260 mAh," 6.47""", 1080 x 2340, Distribütör Garantili, Var, Var,, 74.2 MM, Var, Var, Yok, Qualcomm Snapdragon 730G (SM7150-AB), Var, Dual-core 2.2 Ghz Kryo 470 (Gold),5.0, 2160p (Ultra HD) 4K, 2.2 GHz, % 87.25, Yok, FHD+, USB Type-C, 2.0, 157.8 MM, 8 MP, 9.67 MM,, Var, 5 MP, 204 G, 30 fps, 2 MP,8.0, AMOLED, Yok, Var,,,,,,,,64.0
729,729,https://www.n11.com/urun/xiaomi-redmi-note-9-128-gb-xiaomi-turkiye-garantili-1387209?magaza=bittibitiyor," 2.949,90 ", Xiaomi, Redmi Note 9, Android, 13 MP, 48 MP, 4 GB, 5020 mAh," 6.53""", 1080 x 2340, Distribütör Garantili, Var, Var,, 77.2 MM,, Var, Var, MediaTek Helio G85, Var, Dual-core 2.0 GHz ARM Cortex-A75,5.0, 1080p (Full HD), 2 GHz, % 83.22,, Full HD, Type-C USB, 2.0, 162.3 MM, 8 MP, 8.9 MM, Var, Var, 2 MP, 199 G, 30 fps, 2 MP,8.0, IPS LCD,, Var,, Sadece Sıçramalara Karşı,,,,,,128.0
730,730,https://www.n11.com/urun/samsung-galaxy-a21s-duos-64-gb-samsung-turkiye-garantili-1402396?magaza=alkisiletisim," 2.689,00 ", Samsung, Galaxy A21S, Android, 13 MP, 48 MP, 4 GB, 5000 mAh," 6.5""", 720 x 1600, Distribütör Garantili, Var, Var,, 75.3 MM, Var, Var, Var, Samsung Exynos 850, Var, Quad-Core 2.0 GHz ARM Cortex-A55,5.0, 1080p (Full HD), 2 GHz, % 82.43,, HD+, USB Type-C, 2.0, 163.7 MM, 8 MP, 8.9 MM,, Var, 2 MP, 192 G, 30 fps, 2 MP,8.0, PLS,,,,,,,,,,64.0
731,731,https://www.n11.com/urun/samsung-galaxy-a11-32-gb-samsung-turkiye-garantili-1402323?magaza=alkisiletisim," 2.279,00 ", Samsung, Galaxy A11, Android, 8 MP, 13 MP, 2 GB, 4000 mAh," 6.4""", 720 x 1560, Distribütör Garantili, Var,,, 76.3 MM, Var, Var, Var, Qualcomm Snapdragon 450 (SDM450), Var, Octa-Core 1.8 Ghz ARM Cortex-A53,4.2, 1080p (Full HD), 1.8 GHz, % 81.4,, HD+, USB Type-C, 2.0, 161.4 MM, 5 MP, 8 MM,,, 2 MP, 177 G, 30 fps,,8.0, PLS,,,,,,,,,,32.0
732,732,https://www.n11.com/urun/oppo-a72-128-gb-oppo-turkiye-garantili-1436850?magaza=alkisiletisim," 3.028,00 ", Oppo, A72, Android, 16 MP, 48 MP, 4 GB, 4880 mAh," 6.5""", 2400 x 1080, Distribütör Garantili,,,, 75.5 MM, Var, Var,,,,,5.0,,,,,,,, 162 MM, 8 MP, 8.9 MM,,, 2 MP, 192 G,, 2 MP,, TFT LCD,,,,,,,,,,128.0
733,733,https://www.n11.com/urun/oppo-realme-c3i-duos-32-gb-realme-turkiye-garantili-1451350?magaza=alkisiletisim," 2.499,00 ", Oppo, Realme C3i Duos, Android,, 12 MP, 2 GB, 5000 mAh," 6.5""", 720 x 1600, Distribütör Garantili,, Var,, 75 MM,, Var, Var, MediaTek Helio G70, Var, Dual-core 2.0 GHz ARM Cortex-A75,5.0, 1080p (Full HD), 2 GHz, %82.7,, HD+, Micro-USB, 2.0, 164.4 MM, 2 MP, 9 MM,,,, 195 G, 30 fps,,8.0, IPS LCD,,,,,,,,,,32.0
734,734,https://www.n11.com/urun/casper-via-x20-premium-128-gb-casper-turkiye-garantili-1483733?magaza=alkisiletisim," 3.381,00 ", Casper, VIA.X20, Android 10 (Q), 25 MP, 48 MP, 6 GB, 4510 mAh, 163.73, 2340 x 1080, Distribütör Garantili, Var, Var,, 77.1, Yok, Var, 512 GB, MediaTek Helio™ P70, Var, A73 Cortex,4.2, FULL HD, 2.1GHz + 2.0 GHz, 84%,, 1080, Type-C USB,," 6.53""", 8 MP, 8.8 MM,, Var, 2 MP, 190 G, 30, 2 MP,8.0, Ips,, Var,,,,, Var,,,128.0
735,735,https://www.n11.com/urun/oppo-a5s-32-gb3-gb-oppo-turkiye-garantili-1126704?magaza=alkisiletisim," 2.199,00 ", Oppo, A5s, Android, 8 MP, 13 MP, 3 GB, 4230 mAh," 6.2""", 720 x 1520, Distribütör Garantili,, Yok, Yok, 75.4 MM, Yok, Var, Var, MediaTek MT6765 (Helio P35), Var, Quad-Core 2.3 GHz ARM Cortex-A53,4.2, 1080p (Full HD), 2.3 GHz, % 80.86, Yok, HD+, Micro-USB, 2.0, 155.9 MM, 2 MP, 8.2 MM, Yok, Var,, 170 G, 30 fps,,8.0, IPS LCD, Yok,,,,,,,,,32.0
736,736,https://www.n11.com/urun/tcl-10-plus-duos-64-gb-tcl-turkiye-garantili-1518790?magaza=alkisiletisim," 3.500,00 ", Tcl, 10 PLUS, Android, 16 MP, 48 MP, 6 GB, 4500 mAh," 6.47""", 1080 x 2340, Distribütör Garantili, Var, Var,, 72.88 MM, Var, Var, Var, Qualcomm Snapdragon 665 (SM6125), Var, Quad-core 2.0 GHz Kryo 260 (Gold),5.0, 2160p (Ultra HD) 4K, 2.0 GHz, % 89.02,,, USB Type-C, 2.0, 158.9 MM, 8 MP, 8.95 MM,, Var, 2 MP, 172 G, 30 fps, 2 MP,8.0, AMOLED,, Var,,, Quad-Core 1.8 GHz Kryo 260 (Silver),,,,,64.0
737,737,https://www.n11.com/urun/oppo-a31-64-gb-oppo-turkiye-garantili-1400774?magaza=alkisiletisim," 2.539,00 ", Oppo, A31, Android, 8 MP, 12 MP, 4 GB, 4230 mAh," 6.5""", 720 x 1600, Distribütör Garantili,,,, 75.5 MM,, Var, Var, MediaTek MT6765 (Helio P35), Var, Quad-core 2.3 GHz ARM Cortex-A53,5.0, 1080p (Full HD), 2.3 GHz, % 81.7,, HD+, Type-C USB, 2.0, 163.9 MM, 2 MP, 8.3 MM,, Var, 2 MP, 180 G, 30 fps,,8.0, IPS LCD,,,,,,,,,,64.0
738,738,https://www.n11.com/urun/samsung-galaxy-s10-plus-128-gb-samsung-turkiye-garantili-874518?magaza=cephane," 5.499,00 ", Samsung, Galaxy S10 Plus, Android, 16 MP, 12 MP, 8 GB, 4100 mAh," 6.4""", 1440 x 3040, Distribütör Garantili, Var, Yok, Var, 74.1 MM, Var, Var, Var, Samsung Exynos 9 Series 9820, Var, Dual-Core 2.73 GHz Mongoose M4,5.0, 2160p (Ultra HD) 4K, 2.73 GHz, % 87.54, Var, QHD+, USB Type-C, 3.1 Gen 1 (USB 3.0), 157.6 MM, 16 MP, 7.8 MM, Var, Var, 12 MP, 175 G, 60 fps,,8.0, Dynamic AMOLED, Yok,, IP6X, IPX8,, 8 MP,,,,128.0
739,739,https://www.n11.com/urun/apple-iphone-se-2020-64-gb-apple-turkiye-garantili-1381478?magaza=cephane," 4.921,00 ", Apple, iPhone SE 2020, iOS, 7 MP, 12 MP, 3 GB, 1821 mAh," 4.7""", 750 x 1334, Distribütör Garantili, Var,, Var, 67.3 MM, Var, Var,, Apple A13 Bionic, Var,,5.0, 2160p (Ultra HD) 4K, 2.6 GHz, % 65.36, Var,, Lightning,, 138.4 MM,, 7.3 MM, Var, Var,, 148 G, 60 fps,,6.0, IPS LCD,,, IP6X, IPX7,,,,,,64.0
740,740,https://www.n11.com/urun/apple-iphone-7-32-gb-apple-turkiye-garantili-124307?magaza=cephane," 4.125,00 ", Apple, iPhone 7, iOS, 7 MP, 12 MP, 2 GB, 1960 mAh," 4.7""", 750 x 1334, Distribütör Garantili, Yok, Yok, Var, 67.1 MM, Var, Var, Yok, Apple A10 Fusion, Var, Quad-Core 2.34 GHz,4.2, 2160p (Ultra HD) 4K, 2.34 GHz, % 65.61, Var, HD+, Lightning, 2.0, 138.3 MM,, 7.1 MM, Var, Var,, 138 G, 30 fps,,4.0, IPS LCD, Yok, Yok, IP6X, IPX7,,,,,,32.0
