,Unnamed: 0,URL,Price,Marka,Model,İşletim Sistemi,Ön Kamera Çözünürlüğü,Arka Kamera Çözünürlüğü,Bellek Kapasitesi,Batarya Kapasitesi,Ekran Boyutu,Ekran Çözünürlüğü,Garanti Türü,Hızlı Şarj Özelliği,Çift Hatlı,Toza Dayanıklılık,En,NFC,GPS,Hafıza Kartı Desteği,Yonga Seti (Chipset),4.5G Desteği,İşlemci,Bluetooth Sürüm,Arka Kamera Video Kayıt Çözünürlüğü,CPU Frekansı,Ekran / Gövde Oranı,Optik Görüntü Sabitleyici,Çözünürlük Standardı,USB Bağlantı Tipi,USB Versiyonu,Boy,İkinci Arka Kamera Çözünürlüğü,Kalınlık,Suya Dayanıklılık,Parmak izi Okuyucu,Üçüncü Arka Kamera Çözünürlüğü,Ağırlık,Arka Kamera Video FPS Değeri,Dördüncü Arka Kamera Çözünürlüğü,CPU Çekirdeği,Ekran Tipi,5G Desteği,Yüz Tanıma,Toza Dayanıklılık Seviyesi,Suya Dayanıklılık Seviyesi,1.Yardımcı İşlemci,İkinci Ön Kamera Çözünürlüğü,Kamera Zoom,2.Yardımcı İşlemci,Beşinci Arka Kamera Çözünürlüğü,Dahili_Hafiza
460,460,https://www.n11.com/urun/apple-iphone-se-2020-64-gb-apple-turkiye-garantili-1381478?magaza=teknonet," 4.921,00 ", Apple, iPhone SE 2020, iOS, 7 MP, 12 MP, 3 GB, 1821 mAh," 4.7""", 750 x 1334, Distribütör Garantili, Var,, Var, 67.3 MM, Var, Var,, Apple A13 Bionic, Var,,5.0, 2160p (Ultra HD) 4K, 2.6 GHz, % 65.36, Var,, Lightning,, 138.4 MM,, 7.3 MM, Var, Var,, 148 G, 60 fps,,6.0, IPS LCD,,, IP6X, IPX7,,,,,,64.0
461,461,https://www.n11.com/urun/huawei-p40-lite-duos-128-gb-huawei-turkiye-garantili-1341859?magaza=azimticaret," 3.039,00 ", Huawei, P40 Lite, Android, 16 MP, 48 MP, 6 GB, 4200 mAh," 6.4""", 1080 x 2310, Distribütör Garantili, Var, Var,, 76.3 MM, Var, Var, Var, Huawei Kirin 810, Var, Dual-core 2.27 GHz ARM Cortex-A76,5.0, 1080p (Full HD), 2.27 GHz, % 83.26, Yok, FHD+, USB Type-C, 2.0, 159.2 MM, 8 MP, 8.7 MM,, Var, 2 MP, 183 G, 30 fps, 2 MP,8.0,,,,,,,,,,,128.0
462,462,https://www.n11.com/urun/vestel-venus-z40-128-gb-vestel-turkiye-garantili-1172171?magaza=kalitegarantisi," 4.199,00 ", Vestel, Venus Z40, Android, 8 MP, 16 MP, 4 GB, 3500 mAh," 6.4""", 1080 x 2340, Distribütör Garantili, Var, Var, Yok, 74.1 MM, Var, Var, Var, MediaTek MT6771V (Helio P70), Var, Quad-core 2.1 GHz ARM Cortex-A73,4.2, 1080p (Full HD), 2.1 GHz, % 85.5, Yok, FHD+, USB Type-C, 2.0, 158.7 MM, 5 MP, 8.6 MM, Yok, Var,, 165.5 G, 30 fps,,8.0, AMOLED, Yok,,,,,,,,,128.0
463,463,https://www.n11.com/urun/xiaomi-redmi-note-9-64-gb-xiaomi-turkiye-garantili-1387192?magaza=cepmarketin," 2.799,00 ", Xiaomi, Redmi Note 9, Android, 13 MP, 48 MP, 3 GB, 5020 mAh," 6.53""", 1080 x 2340, Distribütör Garantili, Var, Var,, 77.2 MM,, Var, Var, MediaTek Helio G85, Var, Dual-core 2.0 GHz ARM Cortex-A75,5.0, 1080p (Full HD), 2 GHz, % 83.22,, Full HD, Type-C USB, 2.0, 162.3 MM, 8 MP, 8.9 MM, Var, Var, 2 MP, 199 G, 30 fps, 2 MP,8.0, IPS LCD,, Var,, Sadece Sıçramalara Karşı,,,,,,64.0
464,464,https://www.n11.com/urun/oppo-a31-64-gb-oppo-turkiye-garantili-1400774?magaza=alkisiletisim," 2.539,00 ", Oppo, A31, Android, 8 MP, 12 MP, 4 GB, 4230 mAh," 6.5""", 720 x 1600, Distribütör Garantili,,,, 75.5 MM,, Var, Var, MediaTek MT6765 (Helio P35), Var, Quad-core 2.3 GHz ARM Cortex-A53,5.0, 1080p (Full HD), 2.3 GHz, % 81.7,, HD+, Type-C USB, 2.0, 163.9 MM, 2 MP, 8.3 MM,, Var, 2 MP, 180 G, 30 fps,,8.0, IPS LCD,,,,,,,,,,64.0
465,465,https://www.n11.com/urun/huawei-p40-lite-e-duos-64-gb-huawei-turkiye-garantili-1360048?magaza=telefondukkani," 2.900,00 ", Huawei, P40 Lite E, Android, 8 MP, 48 MP, 4 GB, 4000 mAh," 6.39""", 720 x 1560, Distribütör Garantili, Yok, Var, Yok, 76.13 MM, Yok, Var, Var, Huawei Kirin 710F, Var, Quad-Core 2.2 GHz ARM Cortex-A73,5.0, 1080p (Full HD), 2.2 GHz, % 82.18,, HD+, Micro-USB, 2.0, 159.81 MM, 8 MP, 8.13 MM, Yok, Var, 2 MP, 176 G, 60 fps,,8.0, IPS LCD, Yok, Var,,,,,,,,64.0
466,466,https://www.n11.com/urun/samsung-galaxy-a30s-64-gb-samsung-turkiye-garantili-1120714?magaza=telefondukkani," 2.829,00 ", Samsung, Galaxy A30s, Android, 16 MP, 25 MP, 4 GB, 4000 mAh," 6.4""", 1080 x 2340, Distribütör Garantili, Var, Var, Yok, 74.7 MM, Yok, Var, Var, Samsung Exynos 7 Series 7904, Var, Dual-Core 1.8 GHz ARM Cortex-A73,5.0, 1080p (Full HD), 1.8 GHz, % 84.5, Yok, HD+, USB Type-C, 2.0, 158.5 MM, 8 MP, 7.8 MM, Yok, Var, 5 MP, 166 G, 30 fps,,8.0, Super AMOLED, Yok,,,,,,,,,64.0
467,467,https://www.n11.com/urun/oppo-a31-64-gb-oppo-turkiye-garantili-1400774?magaza=telefondukkani," 2.560,00 ", Oppo, A31, Android, 8 MP, 12 MP, 4 GB, 4230 mAh," 6.5""", 720 x 1600, Distribütör Garantili,,,, 75.5 MM,, Var, Var, MediaTek MT6765 (Helio P35), Var, Quad-core 2.3 GHz ARM Cortex-A53,5.0, 1080p (Full HD), 2.3 GHz, % 81.7,, HD+, Type-C USB, 2.0, 163.9 MM, 2 MP, 8.3 MM,, Var, 2 MP, 180 G, 30 fps,,8.0, IPS LCD,,,,,,,,,,64.0
468,468,https://www.n11.com/urun/huawei-p-smart-pro-128-gb-huawei-turkiye-garantili-1231347?magaza=cephane," 2.989,00 ", Huawei, P Smart Pro, Android, 16 MP, 48 MP, 6 GB, 4000 mAh," 6.59""", 1080 x 2340, Distribütör Garantili,, Var,,, Yok, Var, Var,,, Quad-core 1.7 GHz ARM Cortex-A53,,,,,,,,,,,,,,,,,,, IPS LCD,,,,,,,,,,128.0
469,469,https://www.n11.com/urun/reeder-p13-max-blue-64-gb-reeder-turkiye-garantili-1439919?magaza=telefondukkani," 1.849,00 ", Reeder, P13 Max Blue, Android, 8 MP, 13 MP, 4 GB, 4680 mAh," 6.4""", 720 x 1560, Distribütör Garantili,,,,,, Var,,, Var, Octa-Core 2.6 GHz ARM Cortex-A53,,, 2.6 GHz,,, HD+,, 2.0,, 0.3 MP,,,,,, 30 fps,,8.0,,,,,,,,,,,64.0
