Marka,Model,Isletim_Sistemi,Dahili_Hafiza,On_Kamera_Cozunurlugu,Arka_Kamera_Cozunurlugu,Bellek_Kapasitesi,Batarya_Kapasitesi,Fiyat
 Samsung, Note20 Ultra, Android,256.0,10.0,108.0,8.0,4500.0,116.0
 Samsung, Note20, Android,256.0,10.0,64.0,8.0,4300.0,9299.0
 Samsung, Galaxy A20s, Android,32.0,8.0,13.0,3.0,4000.0,2714.0
 Huawei, Y5 (2019), Android,16.0,5.0,13.0,2.0,3020.0,19.0
 Xiaomi, Redmi 8, Android,32.0,8.0,12.0,3.0,5000.0,2199.0
 Xiaomi, Redmi 8A, Android,32.0,8.0,12.0,2.0,5000.0,2099.0
 Apple, iPhone 8 Plus, iOS,128.0,7.0,12.0,3.0,2691.0,6279.0
 Huawei, Y6S Duos, Android,32.0,8.0,13.0,3.0,3020.0,2015.0
 Oppo, Reno 4 Lite, Android,128.0,16.0,48.0,8.0,4015.0,3367.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Xiaomi, Redmi 9A, Android,32.0,5.0,13.0,2.0,5000.0,2173.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2664.0
 Samsung, Galaxy A30s, Android,64.0,16.0,25.0,4.0,4000.0,2829.0
 Oppo, A12,,32.0,5.0,13.0,3.0,4230.0,2249.0
 Huawei, Y6S Duos, Android,32.0,8.0,13.0,3.0,3020.0,2015.0
 Samsung, Galaxy M21 Duos, Android,64.0,20.0,48.0,4.0,6000.0,2549.0
 Samsung, Galaxy A31, Android,128.0,20.0,48.0,4.0,5000.0,2949.0
 Samsung, Galaxy A51, Android,128.0,32.0,48.0,6.0,4000.0,3469.0
