Marka,Model,Isletim_Sistemi,Dahili_Hafiza,On_Kamera_Cozunurlugu,Arka_Kamera_Cozunurlugu,Bellek_Kapasitesi,Batarya_Kapasitesi,Fiyat
 Samsung, Galaxy A51, Android,128.0,32.0,48.0,6.0,4000.0,3469.0
 Reeder, P13 Max Blue, Android,64.0,8.0,13.0,4.0,4680.0,1830.0
 Oppo Realme, RMX2040, Android 10,128.0,16.0,64.0,4.0,4300.0,2849.0
 Samsung, Galaxy A20s, Android,32.0,8.0,13.0,3.0,4000.0,2714.0
 Xiaomi, Redmi Note 8 Pro, Android,64.0,20.0,64.0,6.0,4500.0,3250.0
 Reeder, P13 Blue, Android,16.0,5.0,8.0,3.0,4080.0,14.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2251.0
 Oppo, Reno2 Z, Android,128.0,16.0,48.0,8.0,4000.0,3215.0
 Xiaomi, Redmi 8, Android,32.0,8.0,12.0,3.0,5000.0,2199.0
 Apple, iPhone 8 Plus, iOS,128.0,7.0,12.0,3.0,2691.0,6279.0
 Huawei, Y7 2019, Android,32.0,8.0,13.0,3.0,4000.0,1799.0
 Xiaomi, Redmi Note 9, Android,64.0,13.0,48.0,3.0,5020.0,2799.0
 Apple, iPhone 11 Pro Max, iOS,256.0,12.0,12.0,4.0,3969.0,15899.0
 General Mobile, GM 5, Android,16.0,5.0,13.0,2.0,,1798.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Apple, iPhone XR, iOS,64.0,7.0,12.0,3.0,2942.0,6557.0
 Xiaomi, Redmi 8A, Android,32.0,8.0,12.0,2.0,5000.0,2095.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Apple, iPhone 8 Plus, iOS,128.0,7.0,12.0,3.0,2691.0,6279.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Apple, iPhone SE 2020, iOS,128.0,7.0,12.0,3.0,1821.0,5690.0
 Huawei, Y6S Duos, Android,32.0,8.0,13.0,3.0,3020.0,2015.0
 Huawei, P Smart Pro, Android,128.0,16.0,48.0,6.0,4000.0,2989.0
 Huawei, P40 Lite E, Android,64.0,8.0,48.0,4.0,4000.0,29.0
 Oppo, Reno Z, Android,128.0,32.0,48.0,4.0,4035.0,3540.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2560.0
 Apple, iPhone 11 Pro Max, iOS,64.0,12.0,12.0,4.0,3969.0,12949.0
 Samsung, Galaxy J7 Pro, Android,16.0,13.0,13.0,3.0,3600.0,2099.0
 LG, K10 (2017), Android,16.0,13.0,13.0,2.0,2800.0,1089.0
 Samsung, Galaxy A70, Android,128.0,32.0,32.0,6.0,4500.0,3739.0
 Reeder, P13 Max Blue, Android,64.0,8.0,13.0,4.0,4680.0,1849.0
 Oppo, A9 2020, Android,128.0,16.0,48.0,4.0,5000.0,2999.0
 Huawei, Y6 2019, Android,32.0,8.0,13.0,2.0,3020.0,2230.0
 Oppo, A12,,32.0,5.0,13.0,3.0,4230.0,2249.0
 Samsung, Galaxy S10 Lite, Android,128.0,32.0,48.0,8.0,4500.0,6049.0
 Samsung, Note20, Android,256.0,10.0,64.0,8.0,4300.0,8959.0
 Xiaomi, Redmi 8, Android,32.0,8.0,12.0,3.0,5000.0,2269.0
 Samsung, Galaxy M21 Duos, Android,64.0,20.0,48.0,4.0,6000.0,2549.0
 Samsung, Galaxy A31, Android,128.0,20.0,48.0,4.0,5000.0,2949.0
 Samsung, Galaxy A51, Android,128.0,32.0,48.0,6.0,4000.0,3469.0
 Huawei, P30 Lite, Android,128.0,24.0,48.0,4.0,3340.0,2866.0
 Oppo Realme, C2, Android,64.0,5.0,13.0,3.0,4000.0,2158.0
 Vestel, Venus Z40, Android,128.0,8.0,16.0,4.0,3500.0,4199.0
 Samsung, Galaxy A2 Core, Android,16.0,5.0,5.0,1.0,2600.0,1979.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Vestel, Venus V7, Android,64.0,13.0,13.0,3.0,4050.0,2135.0
 Samsung, Galaxy M11, Android,32.0,8.0,13.0,3.0,5000.0,2249.0
 Oppo, A52,,64.0,16.0,12.0,4.0,4880.0,27449.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,2850.0
 Reeder, P13 Max Blue, Android,64.0,8.0,13.0,4.0,4680.0,1849.0
 Samsung, Galaxy J7 Pro, Android,16.0,13.0,13.0,3.0,3600.0,16999.0
 Reeder, P13 Max Blue, Android,64.0,8.0,13.0,4.0,4680.0,1849.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Samsung, Galaxy M11, Android,32.0,8.0,13.0,3.0,5000.0,2249.0
 Xiaomi, Redmi Note 9 Pro, Android,64.0,16.0,64.0,6.0,5020.0,34.0
 Samsung, Galaxy Note 10 Lite, Android,128.0,32.0,12.0,6.0,4500.0,4699.0
 Huawei, P40 Lite, Android,128.0,16.0,48.0,6.0,4200.0,3039.0
 Xiaomi, Redmi Note 9S, Android,128.0,16.0,48.0,6.0,5020.0,3298.0
 Huawei, Y5 (2019), Android,16.0,5.0,13.0,2.0,3020.0,1949.0
 Xiaomi, Redmi 6A, Android,16.0,5.0,13.0,2.0,3000.0,2999.0
 LG, K9, Android,16.0,5.0,8.0,2.0,2500.0,1985.0
 Huawei, P40 Pro, Android,256.0,32.0,50.0,8.0,4200.0,11129.0
 Huawei, P30 Lite, Android,64.0,32.0,24.0,4.0,3340.0,2775.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2664.0
 Xiaomi, Redmi Note 9 Pro, Android,64.0,16.0,64.0,6.0,5020.0,34.0
 Samsung, Galaxy M31, Android,128.0,32.0,64.0,6.0,6000.0,2999.0
 Samsung, Galaxy M21 Duos, Android,64.0,20.0,48.0,4.0,6000.0,2549.0
 Xiaomi, Redmi Note 8 Pro, Android,128.0,20.0,64.0,6.0,4500.0,3340.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Apple, iPhone 11, iOS,256.0,12.0,12.0,4.0,3110.0,8979.0
 Oppo, A52,,64.0,16.0,12.0,4.0,4880.0,28.0
 Samsung, Galaxy M20, Android,32.0,8.0,13.0,3.0,5000.0,2550.0
 Apple, iPhone 11 Pro Max, iOS,64.0,12.0,12.0,4.0,3969.0,12949.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Huawei, P40 Lite E, Android,64.0,8.0,48.0,4.0,4000.0,25799.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3069.0
 Hiking, A19, Android,64.0,8.0,16.0,4.0,3200.0,15959.0
 Apple, iPhone 11, iOS,128.0,12.0,12.0,4.0,3046.0,8099.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Apple, iPhone 7, iOS,32.0,7.0,12.0,2.0,1960.0,4125.0
 Samsung, A71, Android,128.0,32.0,64.0,8.0,4500.0,4039.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Samsung, Galaxy J7 Core, Android,16.0,5.0,13.0,2.0,3000.0,1999.0
 Huawei, Y7 (2019), Android,32.0,8.0,13.0,3.0,4000.0,2399.0
 Oppo, Reno 4 Lite, Android,128.0,16.0,48.0,8.0,4015.0,3367.0
 Xiaomi, Redmi Note 8 Pro, Android,64.0,20.0,64.0,6.0,4500.0,3319.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2251.0
 Apple, iPhone 8 Plus, iOS,128.0,7.0,12.0,3.0,2691.0,6279.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2664.0
 Xiaomi, Redmi 9 Duos, Android,32.0,8.0,13.0,3.0,5020.0,2690.0
 Samsung, Galaxy A51, Android,128.0,32.0,48.0,6.0,4000.0,3599.0
 Xiaomi, Mi Note 10 Lite, Android,128.0,16.0,64.0,8.0,5260.0,4259.0
 Apple, iPhone 11 Pro, iOS,64.0,12.0,12.0,4.0,3190.0,114129.0
 Samsung, Galaxy A51, Android,128.0,32.0,48.0,6.0,4000.0,3469.0
 Samsung, Galaxy M11, Android,32.0,8.0,13.0,3.0,5000.0,2249.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Apple, iPhone SE 2020, iOS,64.0,7.0,12.0,3.0,1821.0,4921.0
 Oppo Realme, RMX2061, Android 10,128.0,16.0,64.0,8.0,4300.0,3699.0
 Xiaomi, Redmi 8A, Android,32.0,8.0,12.0,2.0,5000.0,2095.0
 Huawei, Y6 2019, Android,32.0,8.0,13.0,2.0,3020.0,2230.0
 Samsung, Galaxy S10 Lite, Android,128.0,32.0,48.0,8.0,4500.0,5999.0
 Apple, iPhone 11 Pro, iOS,64.0,12.0,12.0,4.0,3190.0,113819.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Xiaomi, Mi 9T, Android,128.0,20.0,48.0,6.0,4000.0,5399.0
 Apple, iPhone 8 Plus, iOS,128.0,7.0,12.0,3.0,2691.0,6279.0
 Samsung, Galaxy A10S, Android,32.0,8.0,13.0,2.0,4000.0,2319.0
 Honor, 8S, Android,64.0,5.0,13.0,3.0,3020.0,2833.0
 Apple, iPhone 8, iOS,64.0,7.0,12.0,2.0,1821.0,62.0
 Apple, iPhone SE 2020, iOS,64.0,7.0,12.0,3.0,1821.0,4921.0
 Huawei, P40 Lite, Android,128.0,16.0,48.0,6.0,4200.0,3039.0
 Vestel, Venus Z40, Android,128.0,8.0,16.0,4.0,3500.0,4199.0
 Xiaomi, Redmi Note 9, Android,64.0,13.0,48.0,3.0,5020.0,2799.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Huawei, P40 Lite E, Android,64.0,8.0,48.0,4.0,4000.0,29.0
 Samsung, Galaxy A30s, Android,64.0,16.0,25.0,4.0,4000.0,2829.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2560.0
 Huawei, P Smart Pro, Android,128.0,16.0,48.0,6.0,4000.0,2989.0
 Reeder, P13 Max Blue, Android,64.0,8.0,13.0,4.0,4680.0,1849.0
 Apple, iPhone 11, iOS,128.0,12.0,12.0,4.0,3046.0,8099.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Oppo, A52,,64.0,16.0,12.0,4.0,4880.0,28.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,2969.0
 Huawei, P20 Pro, Android,128.0,24.0,40.0,6.0,4000.0,5349.0
 Xiaomi, Redmi 8, Android,32.0,8.0,12.0,3.0,5000.0,2269.0
 Samsung, Galaxy A50, Android,64.0,25.0,25.0,6.0,4000.0,53394.0
 General Mobile, GM 20, Android,64.0,8.0,13.0,4.0,4000.0,1873.0
 General Mobile, GM 20 Pro, Android,128.0,16.0,48.0,6.0,4050.0,2318.0
 Apple, iPhone 8 Plus, iOS,128.0,7.0,12.0,3.0,2691.0,6279.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7649.0
 General Mobile, GM 20, Android,64.0,8.0,13.0,4.0,4000.0,2033.0
 Huawei, P40 Lite, Android,128.0,16.0,48.0,6.0,4200.0,3039.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3069.0
 Oppo, A9 2020, Android,128.0,16.0,48.0,4.0,5000.0,2999.0
 Xiaomi, Redmi Note 8, Android,64.0,13.0,48.0,4.0,4000.0,24.0
 Xiaomi, Redmi Note 8 Pro, Android,64.0,20.0,64.0,6.0,4500.0,3319.0
 Samsung, Galaxy A2 Core, Android,16.0,5.0,5.0,1.0,2600.0,1979.0
 C5 Mobile, Noa G1, Android,8.0,2.0,5.0,1.0,2250.0,9999.0
 Apple, iPhone 11, iOS,128.0,12.0,12.0,4.0,3046.0,8099.0
 Apple, iPhone 11 Pro, iOS,512.0,12.0,12.0,4.0,3046.0,14290.0
 Xiaomi, Redmi Note 8 Pro, Android,64.0,20.0,64.0,6.0,4500.0,3319.0
 General Mobile, GM 20 Pro, Android,128.0,16.0,48.0,6.0,4050.0,2318.0
 Huawei, Y6 2019, Android,32.0,8.0,13.0,2.0,3020.0,2230.0
 General Mobile, GM 20, Android,64.0,8.0,13.0,4.0,4000.0,2033.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Xiaomi, Redmi Note 8, Android,64.0,13.0,48.0,4.0,4000.0,24.0
 Xiaomi, Redmi Note 8 Pro, Android,64.0,20.0,64.0,6.0,4500.0,3319.0
 C5 Mobile, Noa G1, Android,8.0,2.0,5.0,1.0,2250.0,9999.0
 Apple, iPhone 11, iOS,128.0,12.0,12.0,4.0,3046.0,8099.0
 Apple, iPhone 11 Pro, iOS,512.0,12.0,12.0,4.0,3046.0,14290.0
 Xiaomi, Redmi Note 8 Pro, Android,64.0,20.0,64.0,6.0,4500.0,3319.0
 General Mobile, GM 20 Pro, Android,128.0,16.0,48.0,6.0,4050.0,2318.0
 Huawei, Y6 2019, Android,32.0,8.0,13.0,2.0,3020.0,2230.0
 General Mobile, GM 20, Android,64.0,8.0,13.0,4.0,4000.0,2033.0
 Honor, 8S, Android,64.0,5.0,13.0,3.0,3020.0,1943.0
 General Mobile, GM 20, Android,64.0,8.0,13.0,4.0,4000.0,1873.0
 General Mobile, GM 20 Pro, Android,128.0,16.0,48.0,6.0,4050.0,2318.0
 Samsung, Galaxy Note 9, Android,128.0,8.0,12.0,6.0,4000.0,6499.0
 Samsung, Galaxy J6 Plus, Android,32.0,8.0,13.0,3.0,3300.0,3099.0
 Samsung, Galaxy S20+, Android,128.0,10.0,12.0,12.0,4500.0,7879.0
 Apple, iPhone 11 Pro, iOS,64.0,12.0,12.0,4.0,3190.0,113819.0
 Oppo, Reno 4, Android,128.0,32.0,48.0,8.0,4015.0,4418.0
 Samsung, Galaxy A31, Android,128.0,20.0,48.0,4.0,5000.0,2919.0
 Oppo, Reno 4 Pro, Android,256.0,32.0,48.0,8.0,4000.0,6755.0
 Honor, 7S, Android,16.0,5.0,13.0,2.0,3020.0,1760.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Lenovo, Vibe Shot Z90-7, Android,32.0,8.0,16.0,3.0,2900.0,16.0
 Huawei, P20 Pro, Android,128.0,24.0,40.0,6.0,4000.0,5349.0
 Samsung, Galaxy A50, Android,64.0,25.0,25.0,6.0,4000.0,53394.0
 Xiaomi, Mi Note 10, Android,128.0,32.0,108.0,6.0,5260.0,6199.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Vestel, Venus E5, Android,32.0,8.0,13.0,3.0,3400.0,2299.0
 Samsung, S20 FE, Android,128.0,32.0,12.0,6.0,4500.0,6499.0
 General Mobile, GM 20 Pro, Android,128.0,16.0,48.0,6.0,4050.0,2318.0
 Vestel, Venus V7, Android,64.0,13.0,13.0,3.0,4050.0,2135.0
 Samsung, Galaxy M20, Android,32.0,8.0,13.0,3.0,5000.0,2459.0
 Apple, iPhone 11, iOS,128.0,12.0,12.0,4.0,3046.0,8099.0
 General Mobile, GM 20 Pro, Android,128.0,16.0,48.0,6.0,4050.0,2318.0
 Huawei, P Smart Pro, Android,128.0,16.0,48.0,6.0,4000.0,2859.0
 Samsung, Galaxy S10 Lite, Android,128.0,32.0,48.0,8.0,4500.0,6049.0
 Apple, iPhone 8 Plus, iOS,128.0,7.0,12.0,3.0,2691.0,6279.0
 Reeder, P13 Max Blue, Android,64.0,8.0,13.0,4.0,4680.0,1849.0
 Samsung, Galaxy A30s, Android,64.0,16.0,25.0,4.0,4000.0,2829.0
 Oppo, A91, Android,128.0,16.0,48.0,8.0,4025.0,3169.0
 Xiaomi, Redmi Note 9, Android,64.0,13.0,48.0,3.0,5020.0,2799.0
 Huawei, P30 Lite, Android,128.0,24.0,48.0,4.0,3340.0,2866.0
 Alcatel, 1S, Android,64.0,5.0,13.0,4.0,3060.0,1995.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2251.0
 Samsung, Galaxy Note 5, Android,32.0,5.0,16.0,4.0,3000.0,2499.0
 Samsung, Galaxy J7 Prime, Android,32.0,13.0,13.0,3.0,3300.0,1850.0
 Samsung, Galaxy M11, Android,32.0,8.0,13.0,3.0,5000.0,2249.0
 Samsung, Galaxy J7 Pro, Android,16.0,13.0,13.0,3.0,3600.0,16999.0
 Apple, iPhone 11 Pro Max, iOS,256.0,12.0,12.0,4.0,3969.0,15899.0
 Huawei, Y5 (2019), Android,16.0,5.0,13.0,2.0,3020.0,1949.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Huawei, P20 Lite, Android,64.0,16.0,16.0,4.0,3000.0,2349.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Honor, 7S, Android,16.0,5.0,13.0,2.0,3020.0,1689.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Xiaomi, Redmi Note 8, Android,64.0,13.0,48.0,4.0,4000.0,2834.0
 Samsung, Galaxy M20, Android,32.0,8.0,13.0,3.0,5000.0,2459.0
 Huawei, P Smart (2019), Android,64.0,8.0,13.0,3.0,3400.0,2599.0
 Oppo Realme, RMX2061, Android 10,128.0,16.0,64.0,8.0,4300.0,3876.0
 Oppo Realme, C2, Android,32.0,5.0,13.0,2.0,4000.0,2069.0
 Apple, iPhone 11, iOS,128.0,12.0,12.0,4.0,3046.0,8099.0
 Reeder, P13 Max Blue, Android,64.0,8.0,13.0,4.0,4680.0,1849.0
 Oppo, Reno2 Z, Android,128.0,16.0,48.0,8.0,4000.0,3255.0
 Samsung, Galaxy A2 Core, Android,16.0,5.0,5.0,1.0,2600.0,1999.0
 General Mobile, GM 9 GO, Android,16.0,5.0,13.0,1.0,3500.0,1889.0
 Huawei, P Smart Pro, Android,128.0,16.0,48.0,6.0,4000.0,2859.0
 Samsung, Galaxy A10S, Android,32.0,8.0,13.0,2.0,4000.0,2319.0
 Huawei, P20 Lite, Android,64.0,16.0,16.0,4.0,3000.0,3049.0
 Xiaomi, Redmi Note 8, Android,64.0,13.0,48.0,4.0,4000.0,2834.0
 Samsung, Galaxy S20 Ultra, Android,128.0,40.0,108.0,12.0,5000.0,10479.0
 Samsung, Galaxy Note 10, Android,256.0,10.0,12.0,8.0,3500.0,7299.0
 Samsung, Galaxy M11, Android,32.0,8.0,13.0,3.0,5000.0,2249.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2664.0
 Xiaomi, Redmi Note 8, Android,64.0,13.0,48.0,4.0,4000.0,2499.0
 Apple, iPhone 11 Pro Max, iOS,64.0,12.0,12.0,4.0,3969.0,12949.0
 Samsung, Galaxy A20s, Android,32.0,8.0,13.0,3.0,4000.0,2679.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Huawei, Y5 (2019), Android,16.0,5.0,13.0,2.0,3020.0,1949.0
 Casper, VIA P3, Android,32.0,8.0,13.0,3.0,3000.0,2199.0
 Apple, iPhone SE 2020, iOS,64.0,7.0,12.0,3.0,1821.0,4921.0
 General Mobile, GM 10, Android,64.0,8.0,13.0,3.0,4000.0,1999.0
 General Mobile, GM 20 Pro, Android,128.0,16.0,48.0,6.0,4050.0,2318.0
 Samsung, Galaxy A51, Android,128.0,32.0,48.0,6.0,4000.0,3599.0
 Samsung, Note20, Android,256.0,10.0,64.0,8.0,4300.0,9299.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,30.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Infinix, Hot 8 X650C, Android,64.0,8.0,13.0,4.0,5000.0,2035.0
